timestamp;campaign;batch;code;tbl_speed;fom;main_comp;tbl_fill;SREL;pre_comp;produced;waste;cyl_main;cyl_pre;stiffness;ejection
2019-03-22 10:42:27;35;123;8;0;0;0;6.49;0;0;0;0;1.5;5;5;0
2019-03-22 10:42:37;35;123;8;0;0;0;6.49;0;0;0;0;1.5;5;5;0
2019-03-22 10:42:47;35;123;8;0;0;0;6.49;0;0;0;0;1.5;5;5;0
2019-03-22 10:42:57;35;123;8;0;0;0;6.49;0;0;0;0;1.5;5;5;0
2019-03-22 10:43:07;35;123;8;0;0;0;6.49;0;0;0;0;1.5;5;5;0
2019-03-22 10:43:17;35;123;8;0;0;0;6.49;0;0;0;0;1.5;5;5;0
2019-03-22 10:43:27;35;123;8;0;0;0;6.49;0;0;0;0;1.5;5;5;0
2019-03-22 10:43:37;35;123;8;0;0;0;6.49;0;0;0;0;1.5;5;5;0
2019-03-22 10:43:47;35;123;8;0;0;0;6.49;0;0;0;0;1.5;5;5;0
2019-03-22 10:43:57;35;123;8;0;0;0;6.49;0;0;0;0;1.5;5;5;0
2019-03-22 10:44:07;35;123;8;0;0;0;6.49;0;0;0;0;1.5;5;5;0
2019-03-22 10:44:17;35;123;8;0;0;0;6.49;0;0;0;0;1.5;5;5;0
2019-03-22 10:44:27;35;123;8;0;0;0;6.49;0;0;0;0;1.5;5;5;0
2019-03-22 10:44:37;35;123;8;0;0;0;6.49;0;0;0;0;1.5;5;5;0
2019-03-22 10:44:47;35;123;8;0;0;0;6.49;0;0;0;0;1.5;5;5;0
2019-03-22 10:44:57;35;123;8;0;18;6;6.49;0;0;0;13;1.5;5;5;0
2019-03-22 10:45:07;35;123;8;0;17;6;6.49;68.6;0;0;50;1.5;5;5;0
2019-03-22 10:45:17;35;123;8;0;0;6;6.49;0;0;0;82;1.5;5;5;0
2019-03-22 10:45:27;35;123;8;0;0;6;6.49;0;0;0;89;1.5;5;5;0
2019-03-22 10:45:37;35;123;8;0;0;6;6.49;0;0;0;98;1.5;5;5;0
2019-03-22 10:45:47;35;123;8;0;0;10.3;6.49;0;0;0;110;1.5;5;5;0
2019-03-22 10:45:57;35;123;8;0;0;10.3;6.49;0;0;0;114;1.5;5;5;0
2019-03-22 10:46:07;35;123;8;0;0;10.3;6.49;0;0;0;114;1.5;5;5;0
2019-03-22 10:46:17;35;123;8;0;0;10.3;6.49;0;0;0;114;1.5;5;5;0
2019-03-22 10:46:27;35;123;8;0;0;10.3;6.49;0;0;0;114;1.5;5;5;0
2019-03-22 10:46:37;35;123;8;0;0;10.3;6.49;0;0;0;114;1.5;5;5;0
2019-03-22 10:46:47;35;123;8;0;0;10.3;6.49;0;0;0;114;1.5;5;5;0
2019-03-22 10:46:57;35;123;8;0;0;10.3;6.49;0;0;0;114;1.5;5;5;0
2019-03-22 10:47:07;35;123;8;0;0;10.3;6.49;0;0;0;122;1.5;5;5;0
2019-03-22 10:47:17;35;123;8;0;0;10.3;6.49;0;0;0;122;1.5;5;5;0
2019-03-22 10:47:27;35;123;8;90;30;10.3;6.49;16;0.1;0;343;1.5;5;9;213
2019-03-22 10:47:37;35;123;8;0;0;11;6.49;16;0.1;0;375;1.5;5;10;255
2019-03-22 10:47:47;35;123;8;0;0;11;6.49;16;0.1;0;375;1.5;5;10;255
2019-03-22 10:47:57;35;123;8;0;0;11;6.49;16;0.1;0;375;1.5;5;10;255
2019-03-22 10:48:07;35;123;8;0;0;11;6.49;16;0.1;0;375;1.5;5;10;255
2019-03-22 10:48:17;35;123;8;0;0;11;6.49;16;0.1;0;375;1.5;5;10;255
2019-03-22 10:48:27;35;123;8;0;0;11;6.49;0;0.1;0;375;1.5;5;10;255
2019-03-22 10:48:37;35;123;8;90;30;11.6;6.49;5;0.1;0;610;1.5;5;27;263
2019-03-22 10:48:47;35;123;8;90;30;12;6.49;4.3;0.1;0;860;1.5;5;29;299
2019-03-22 10:48:57;35;123;8;90;30;12.3;6.49;4.4;0.1;0;1110;1.5;5;32;316
2019-03-22 10:49:07;35;123;8;90;30;12.3;6.49;5.2;0.1;0;1360;1.5;5;34;330
2019-03-22 10:49:17;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:49:27;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:49:37;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:49:47;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:49:57;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:50:07;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:50:17;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:50:27;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:50:37;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:50:47;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:50:57;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:51:07;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:51:17;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:51:27;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:51:37;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:51:47;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:51:57;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:52:07;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:52:17;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:52:27;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:52:37;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:52:47;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:52:57;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:53:07;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:53:17;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:53:27;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:53:37;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:53:47;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:53:57;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:54:07;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:54:17;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:54:27;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:54:37;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:54:47;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:54:57;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:55:07;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:55:17;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:55:27;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:55:37;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:55:47;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:55:57;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:56:07;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:56:17;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:56:27;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:56:37;35;123;8;0;0;12.3;6.49;4.5;0.1;0;1416;1.5;5;34;339
2019-03-22 10:56:47;35;123;8;73;30;12.3;6.49;0;0.1;0;1454;1.5;5;36;183
2019-03-22 10:56:57;35;123;8;90;10;11.2;6.49;4.3;0.1;0;1729;1.5;5;39;299
2019-03-22 10:57:07;35;123;8;90;10;9.8;6.49;2.5;0.1;0;1966;1.5;5;41;261
2019-03-22 10:57:17;35;123;8;90;10;9.8;7.5;16;0.1;0;2229;1.5;5;43;287
